Service Description,Service Classification,cleaned_text,encoded_label
"These service provides an instance of the ESRI ArcGIS server to deliver geographic information service (GIS) data for the Utah State Geographic Information Database (SGID). Applications can retrieve vector data describing major features such as roads, airports, municipal and jurisdiction boundaries, and similar public infrastructure. Raster data provides satellite imagery, aerial photos, topographic maps, and other geographically tagged images. API methods support retreival and mapping of data based on location. Methods allow GET access to feature attributes, feature geometry, and raster values. The API also provides listing of municipal jurisdictions as well as address geolocation.",Mapping,these service provides instance of esri arcgis server deliver geographic information service gi data for utah state geographic information database sgid application can retrieve vector data describing major feature such a road airport municipal jurisdiction boundary similar public infrastructure raster data provides satellite imagery aerial photo topographic map other geographically tagged image api method support retreival mapping of data based location method allow get access feature attribute feature geometry raster value api also provides listing of municipal jurisdiction a well a address geolocation,5
"Email Hippo offers email verification services. The API is RESTful, uses GET methods over HTTP. A testing sandbox is available for developers. Use Email Hippo to detect role addresses, free mail detection, or disposal detection. See the API documentation for information on signing up for a free trial.",Email,email hippo offer email verification service api is restful us get method over testing sandbox is available for developer use email hippo detect role address free mail detection disposal detection see api documentation for information signing up for free trial,1
This API provides reputation & presence management of businesses. Business reputations are monitored online and provided in an API. Sentiment analysis is used and recommendations are given. YellowBot is a local search site for finding and reviewing the places in the local community (and elsewhere). Documentation for the API is available upon request.,Search,this api provides reputation presence management of business business reputation are monitored online provided api sentiment analysis is used recommendation are given yellowbot is local search site for finding reviewing place local community elsewhere documentation for api is available upon request,10
The Brightcove Playback API can access video and playlist data from websites and mobile applications. It is available in JSON architecture with policy key as authentication method.,Video,brightcove playback api can access video playlist data from website mobile application it is available json architecture with policy key a authentication method,18
"Vivocha is a cloud-based customer interaction platform that enables businesses to engage with their customers online at the right time and using the most effective communication channel. Businesses can communicate with customers using any combination of VoIP, video, chat, and callbacks as well as collaboration tools such as assisted browsing and form and document sharing. The Vivocha REST API offers access to the main features of the platform. Use the API to subscribe webhooks to vivocha events, request new contacts, set a custom webservice for checking agent availability, or get information about pending contacts and current status.",Enterprise,vivocha is cloud based customer interaction platform that enables business engage with their customer online right time using most effective communication channel business can communicate with customer using any combination of voip video chat callback a well a collaboration tool such a assisted browsing form document sharing vivocha rest api offer access main feature of platform use api subscribe webhooks vivocha event request new contact set custom webservice for checking agent availability get information about pending contact current status,2
"Hotelsbase is the world largest hotel database, of over 500,000 hotels. It lists hotels and their room prices all over the world. Information within the database includes facility information, map co-ordinates, images, address, contact telephone, weather data, price per room and access to tripadvisor ratings. The API exposes this data to developers allowing them to build applications such as hotel search engines. It uses RESTful calls and responses are formatted in XML.",Travel,hotelsbase is world largest hotel database of over hotel it list hotel their room price all over world information within database includes facility information map co ordinate image address contact telephone weather data price per room access tripadvisor rating api expose this data developer allowing them build application such a hotel search engine it us restful call response are formatted xml,17
"Rixty is an alternative payment system that uses cash and coins rather than a credit card or other payment method that could expose sensitive information online. Users can convert their cash to digital currency in the form of a code at any of 75,000 stores in the US or nearly 500,000 locations worldwide. They can then spend that money on multiplayer online games, casual games, virtual worlds, and all types of digital content simply by redeeming the received code. Codes can also be redeemed on a publisher's website by using the Rixty payment API.",Payments,rixty is alternative payment system that us cash coin rather than credit card other payment method that could expose sensitive information online user can convert their cash digital currency form of code any of store u nearly location worldwide they can then spend that money multiplayer online game casual game virtual world all type of digital content simply by redeeming received code code can also be redeemed publisher website by using rixty payment api,7
"OpenCarData collects, stores and disseminates real world OBD (On Board Diagnostics) auto data. This data provides the real time status of an individual car or group of cars. The API consists of methods to store, retrieve and interpret car related data. Data includes trip information, listings of cars, fueling data and more. The API uses RESTful calls and responses are formatted in XML.",Transportation,opencardata collect store disseminates real world obd board diagnostics auto data this data provides real time status of individual car group of car api consists of method store retrieve interpret car related data data includes trip information listing of car fueling data more api us restful call response are formatted xml,16
"CHAIN-REDS is a project for promoting access to globally distributed digital resources such as data, services, storage, and tools. Users can access the more than 22 million open access resources contained within the CHAIN-REDS Knowledge Base through the Semantic Search Engine. These resources cover a wide variety of subjects such as geology, anatomy, data science, and medicine. Users may also access the Semantic Search Engine using the CHAIN-REDS REST API.",Reference,chain red is project for promoting access globally distributed digital resource such a data service storage tool user can access more than million open access resource contained within chain red knowledge base through semantic search engine these resource cover wide variety of subject such a geology anatomy data science medicine user may also access semantic search engine using chain red rest api,8
"The service connects the behavioral profile for a user account to email marketing and CRM functions to target communications based on customer actions. It syncs records of customer activities with back-end systems to enable delivery of timely and highly relevant communications. API methods support tracking and profiling of users based on their online behavior, with activity scoring and location information. Methods also support dynamic content generation and personalized delivery, with marketing messaging generated to synchronize with related behaviors.",Social,service connects behavioral profile for user account email marketing crm function target communication based customer action it syncs record of customer activity with back end system enable delivery of timely highly relevant communication api method support tracking profiling of user based their online behavior with activity scoring location information method also support dynamic content generation personalized delivery with marketing messaging generated synchronize with related behavior,12
"The PKI Cloud CA API offers a gateway to the EJBCA Certificate Authority software. Available resources include certificate profile management, CRL generation and retrieval, and server and client keystore management. This information is available in JSON format and the Certificate Authority API requires API Keys for authentication.",Security,pki cloud ca api offer gateway ejbca certificate authority software available resource include certificate profile management crl generation retrieval server client keystore management this information is available json format certificate authority api requires api key for authentication,11
"the service provides hotel search and look-up function with ability to users accommodations . it is users for integration with travel hotels to allow travel of accommodations , with you search , are , and services capabilities . it includes flexible payment options , including direct payment to the properties booked . booking methods information submission of location and their dates with information from also allows service",Travel,service provides hotel search look up function with ability user accommodation it is user for integration with travel hotel allow travel of accommodation with you search are service capability it includes flexible payment option including direct payment property booked booking method information submission of location their date with information from also allows service,17
"Juice In Da City is a social site celebrating urban rap culture, hosting videos, photos, radio, and event tickets. The Juice In Da City API exposes the platform's user base, providing developer access to user data describing associates, messages, notifications, photos, and profiles.",Social,juice da city is social site celebrating urban rap culture hosting video photo radio event ticket juice da city api expose platform user base providing developer access user data describing associate message notification photo profile,12
"Drip is an email marketing service designed to capture contact information from website visitors using opt-in forms. These forms only require users to make a few style choices before they're ready to go. Users can customize their automated email contact sequence based on their own blog posts or e-books, or they can use Drip's pre-made sequence blueprints. Drip's opt-in forms can be inserted into websites using a snippet of JavaScript code.",Email,drip is email marketing service designed capture contact information from website visitor using opt form these form only require user make few style choice before they re ready go user can customize their automated email contact sequence based their own blog post book they can use drip pre made sequence blueprint drip opt form can be inserted into website using snippet of javascript code,1
"Tippr is a local daily deals aggregation web site. The Tippr API exposes the site data and allows developers to integrate it with their own web sites or applications. Data includes listing of channels and a listing of current offers for a specified channel. The API uses RESTful calls and responses are formatted in XML, JSON and YAML.",eCommerce,tippr is local daily deal aggregation web site tippr api expose site data allows developer integrate it with their own web site application data includes listing of channel listing of current offer for specified channel api us restful call response are formatted xml json yaml,19
"The Index Fungorum is a global fungal nomenclator. It contains the names of fungi (including yeasts, lichens, chromistan fungal analogues, protozoan fungal analogues, and fossil forms) at all ranks. The Index Fungorum Fungus API provides a range of SOAP calls that users may employ to look up the names of fungal organisms.",Science,index fungorum is global fungal nomenclator it contains name of fungi including yeast lichen chromistan fungal analogue protozoan fungal analogue fossil form all rank index fungorum fungus api provides range of soap call that user may employ look up name of fungal organism,9
"Jajah is a unified IP communications platform. Send SMS messages, initiate phone conferences and two party phone calls. The Jajah SOAP web services provide backend integration for calling applications, where the user interface is built by the developer.",Telephony,jajah is unified ip communication platform send sm message initiate phone conference two party phone call jajah soap web service provide backend integration for calling application where user interface is built by developer,14
"RunKeeper is an online health & fitness tracking service built on top of the Health Graph. The Health Graph allows users to keep track of their workouts, nutrition information, sleep and body measurements data, blood glucose levels, and much more in one place. Users can authorize any of the large and growing number of health and fitness partner apps and devices to read and write data to the Health Graph on their behalf. This allows users to see how every aspect of their health correlates to the others. RunKeeper's Health Graph API provides developers access to all of this Health Graph information including things such as user profiles, fitness activities, nutrition information, and weight information.",Sports,runkeeper is online health fitness tracking service built top of health graph health graph allows user keep track of their workout nutrition information sleep body measurement data blood glucose level much more one place user can authorize any of large growing number of health fitness partner apps device read write data health graph their behalf this allows user see how every aspect of their health correlate others runkeeper health graph api provides developer access all of this health graph information including thing such a user profile fitness activity nutrition information weight information,13
"Authy is an authentication service for websites and applications. Authy uses a two-factor authentication process for secure websites and applications. The Authy API allows developers to access and integrate Authy's functionality with other applications and to create new applications. Some example API methods include managing users, adding users, and verifying users.",Security,authy is authentication service for website application authy us two factor authentication process for secure website application authy api allows developer access integrate authy functionality with other application create new application some example api method include managing user adding user verifying user,11
The Captcha API provides provides protection for web forms. The service allows visual and audio confirmation ans is accessible through HTTP GET requests as well as the XML-RPC protocol. This site is in Czech.,Security,captcha api provides provides protection for web form service allows visual audio confirmation an is accessible through http get request a well a xml rpc protocol this site is czech,11
"Qubit is a user behavior data and analysis platform. Qubit's Behavioral Attribution product allows companies and brands to track user behavior to target their marketing efforts. The Qubit Behavioral Attribution API allows developers to access and integrate the functionality and data of Qubit with other applications, including data visualization applications such as Tableau. Public documentation is not available; interested developers should email info@qubitproducts.com for API access.",Enterprise,qubit is user behavior data analysis platform qubit behavioral attribution product allows company brand track user behavior target their marketing effort qubit behavioral attribution api allows developer access integrate functionality data of qubit with other application including data visualization application such a tableau public documentation is not available interested developer should email for api access,2
"The MCCMNC API returns coarse location based on Mobile Country Code and Mobile Network Code. World wide roaming capable mobile phones (cell phones) can display the mobile country code (MCC) and mobile network code (MNC) on the screen. This API decodes the combination of MCC and MNC, back to name of the country, operator name, capital of the city and capital city location (with latitude and longitude).",Telephony,mccmnc api return coarse location based mobile country code mobile network code world wide roaming capable mobile phone cell phone can display mobile country code mcc mobile network code mnc screen this api decodes combination of mcc mnc back name of country operator name capital of city capital city location with latitude longitude,14
"Device Magic builds applications for mobile devices and smartphones that help users reduce their reliance on paper forms for data capture (applications, checklists, to-do lists, surveys and more) by allowing rapid creation and distribution of electronic forms to mobile devices. The API lets developers build workflow and routing applications integrated into their current back-office systems. The API uses RESTful calls and responses are formatted in XML.",Telephony,device magic build application for mobile device smartphones that help user reduce their reliance paper form for data capture application checklist do list survey more by allowing rapid creation distribution of electronic form mobile device api let developer build workflow routing application integrated into their current back office system api us restful call response are formatted xml,14
"Sansad provides the latest data from the Parliament of India. The aim of this application is to offer targeted information to empower users. It is available through an HTTP GET call. With this API, users can have access to legislator's attendance record by constituency, questions asked by a legislator in the Parliament, status and summary of a bill, and bills based on any particular topic such as education.",Government,sansad provides latest data from parliament of india aim of this application is offer targeted information empower user it is available through http get call with this api user can have access legislator attendance record by constituency question asked by legislator parliament status summary of bill bill based any particular topic such a education,4
"MoneyBird is an online service providing fast and easy billing. You can create, manage and send invoices, but also manage your contacts, send recurring invoices and manage your expenses. PayPal integration available to enable your contacts to pay even faster!",Enterprise,moneybird is online service providing fast easy billing you can create manage send invoice also manage your contact send recurring invoice manage your expense paypal integration available enable your contact pay even faster,2
"The service handles online payments via credit card, ACH bank account debits, and RecurPay scheduled payments. All services implement the provider's Fraud Detection Suite (FDS) with configrable filters to prevent suspicious transactions, reducing risk of potentially costly fraudulent payments. API methods support requests to process one-time and scheduled, recurring payments via credit card and ACH bank account debit. Methods also enforce rules determined by the using application to detect possible fraudulent transactions before processing.",Payments,service handle online payment via credit card ach bank account debit recurpay scheduled payment all service implement provider fraud detection suite fds with configrable filter prevent suspicious transaction reducing risk of potentially costly fraudulent payment api method support request process one time scheduled recurring payment via credit card ach bank account debit method also enforce rule determined by using application detect possible fraudulent transaction before processing,7
"Instamanager is a cloud-based vacation rental software provided by Bookt. The platform includes a public rental website and back-end reservation management software, among other services. The API allows for platform customization, creation of widgets and apps, and full interaction with user data on the cloud-based platform.",Travel,instamanager is cloud based vacation rental software provided by bookt platform includes public rental website back end reservation management software among other service api allows for platform customization creation of widget apps full interaction with user data cloud based platform,17
"PriceSpin offers a selection of API webservices for our price comparison solutions including shopping, financial and mobile phone services. These webservices are offered as both SOAP webservices and REST webservices. The PriceSpin API allows developers to create tools and applications that can search for products, search for stores and also search for category specific offers that match your vertical. One added bonus to the websirvices, is that clients can simply add selected offers from PriceSpin merchants to their website without having to download the entire PriceSpin inventory.",eCommerce,pricespin offer selection of api webservices for our price comparison solution including shopping financial mobile phone service these webservices are offered a both soap webservices rest webservices pricespin api allows developer create tool application that can search for product search for store also search for category specific offer that match your vertical one added bonus websirvices is that client can simply add selected offer from pricespin merchant their website without having download entire pricespin inventory,19
"API for implementing live streaming features. With Floobs API 3rd party software developers can get information on floobs users, channels and videos. They can also create content on their own app by uploading videos and live streaming.",Video,api for implementing live streaming feature with floobs api rd party software developer can get information floobs user channel video they can also create content their own app by uploading video live streaming,18
"The Intel Power Web API provides a web app with JavaScript access to information about the devices power and battery state. For instance, in combination with other information about the device, a web app might use Battery level information to determine if a will be able to complete an activitysuch as watching a lengthy movie or playing a game. The API uses JavaScripts protocol.",Tools,intel power web api provides web app with javascript access information about device power battery state for instance combination with other information about device web app might use battery level information determine if will be able complete activitysuch a watching lengthy movie playing game api us javascripts protocol,15
"The Jet API integrates eCommerce features into applications. It utilizes REST practices and authenticates with Api Key and token. Jet.com offers online shopping and product delivery. Categories include household products, grocery, baby, pet supplies, electronics, home & furniture, toys & video games, clothing, shoes, & accessories.",eCommerce,jet api integrates ecommerce feature into application it utilizes rest practice authenticates with api key token jet com offer online shopping product delivery category include household product grocery baby pet supply electronics home furniture toy video game clothing shoe accessory,19
"BugSense is a real-time bug tracking service that collects and analyzes crash reports from mobile apps. Reports provide info on wifi status, SDK version, device, carrier, and more. The API allows users to send errors to BugSense from a third party app. The API uses RESTful calls and responses are formatted in JSON.",Tools,bugsense is real time bug tracking service that collect analyzes crash report from mobile apps report provide info wifi status sdk version device carrier more api allows user send error bugsense from third party app api us restful call response are formatted json,15
"The DataKnowl Cloud SMS API offers low-latency SMS services which enable applications to send and receive messages. The API requires API Keys for authentication, and exchanges JSON formatted data. Complexity Intelligence is a micro-multinational start-up that delivers Artificial Intelligence technologies which help in gathering and analyzing data about products and competitors.",Messaging,dataknowl cloud sm api offer low latency sm service which enable application send receive message api requires api key for authentication exchange json formatted data complexity intelligence is micro multinational start up that delivers artificial intelligence technology which help gathering analyzing data about product competitor,6
"The service connects hotel reservation and guest records with compatible locks at the property, allowing guests to access their rooms using confirmation codes verified against the service's records. Instead of stopping at a property front desk on arrival, a guest can proceed directly to the room and enter a confirmation code that remains valid for the duration of the booking. The service books reservations, emails or texts the access code to the guest, verifies room access during the stay, and completes check-out as the guest departs. API methods support management of property records, including installed door locks, booking of reservations, and guest access information. Methods also manage communication of reservation and access codes to guests and interaction with property registration records.",Travel,service connects hotel reservation guest record with compatible lock property allowing guest access their room using confirmation code verified against service record instead of stopping property front desk arrival guest can proceed directly room enter confirmation code that remains valid for duration of booking service book reservation email text access code guest verifies room access during stay completes check out a guest departs api method support management of property record including installed door lock booking of reservation guest access information method also manage communication of reservation access code guest interaction with property registration record,17
"The Compass: Business Data API allows instant and on-demand access to a database of over 16 million business establishments in the USA, with rich information on each business: Company name, full address information (including county name, zip+4, MSA, longitude/latitude and full secondary address information), phone, fax, web address/URL, contact name/title, annual sales volume, number of employees, credit rating, number of PCs, square footage, SIC/NACIS codes, ethnicity / ethnically owned status, women-owned status, business start year / years in business, franchise status, home office status and more are available. The API can be used for CRM / data append or direct marketing / list generation purposes. Software developers can use the API to integrate this data into any software application that deals with customer data. For example, CRM (Customer Relationship Management) software can make use of this API to append rich data on businesses to an existing list of accounts or leads. Another possible use is list generation: the API can be used to generate highly-targeted customized lists for direct marketing purposes. The API uses RESTful calls and responses are formatted in XML and JSON.",Enterprise,compass business data api allows instant demand access database of over million business establishment usa with rich information each business company name full address information including county name zip msa longitude latitude full secondary address information phone fax web address url contact name title annual sale volume number of employee credit rating number of pc square footage sic nacis code ethnicity ethnically owned status woman owned status business start year year business franchise status home office status more are available api can be used for crm data append direct marketing list generation purpose software developer can use api integrate this data into any software application that deal with customer data for example crm customer relationship management software can make use of this api append rich data business existing list of account lead another possible use is list generation api can be used generate highly targeted customized list for direct marketing purpose api us restful call response are formatted xml json,2
"Linkable Networks is an advertising solutions provider. Their products are directed toward consumers, financial institutions, and advertisers. When registered customers see Linkable Networks logos on advertisements, they can click them for offers stored to their credit card. The Linkable Networks API exposes the linked-offers functionality. It can be used to embed ads. Interested developers must contact mfusco@linkablenetworks.com to register for access.",Advertising,linkable network is advertising solution provider their product are directed toward consumer financial institution advertiser when registered customer see linkable network logo advertisement they can click them for offer stored their credit card linkable network api expose linked offer functionality it can be used embed ad interested developer must contact register for access,0
"Sportradar is a provider of sports and betting-related live data, odds solutions, and fraud detection services. The Sportradar Darts API provides RESTful methods for integrating applications with the Sportradar Darts statistics feeds database. It provides endpoints for retrieving competitor results and schedule, daily results and schedule, head to head stats, seasons, sport event probabilities and timeline, and tournament standings, among others. The API returns responses in either JSON or XML format.",Sports,sportradar is provider of sport betting related live data odds solution fraud detection service sportradar dart api provides restful method for integrating application with sportradar dart statistic feed database it provides endpoint for retrieving competitor result schedule daily result schedule head head stats season sport event probability timeline tournament standing among others api return response either json xml format,13
"Get Exchange Rates provides free exchange rates for nearly every currency in the world. The API lets developers access exchange rate information, both current and historical and integrate it into their systems. Rates for all currencies are updated every two minutes. The simple API uses a RESTful call and responses are formatted in JSON.",Financial,get exchange rate provides free exchange rate for nearly every currency world api let developer access exchange rate information both current historical integrate it into their system rate for all currency are updated every two minute simple api us restful call response are formatted json,3
"The service consolidates online catalog listings from an unlimited selection of products and sellers, aiming to provide a single listing of all products available from any online provider. Its search interface returns keyword matches from product names and descriptions with links to obtain more information and complete purchase. The service also provides product buying guide content and discount coupon offerings for selected products. API methods support submission of a query string and return product listings with matching names and description text. Methods also register the service provider to any query to allow revenue sharing for completed purchases. Search parameters can limit results to particular sellers, price ranges, brands, and colors.",eCommerce,service consolidates online catalog listing from unlimited selection of product seller aiming provide single listing of all product available from any online provider it search interface return keyword match from product name description with link obtain more information complete purchase service also provides product buying guide content discount coupon offering for selected product api method support submission of query string return product listing with matching name description text method also register service provider any query allow revenue sharing for completed purchase search parameter can limit result particular seller price range brand color,19
"The Polysync Logfile REST API allows developers to access and integrate the functionality of Polysync with other applications and to create new applications. The main API method is using logfiles to facilitate the RnR functionality. Polysync provides a platform and features that allow for creating, testing, and deploying applications for driverless vehicles.",Transportation,polysync logfile rest api allows developer access integrate functionality of polysync with other application create new application main api method is using logfiles facilitate rnr functionality polysync provides platform feature that allow for creating testing deploying application for driverless vehicle,16
"Macroglossa is a search engine that compares images. Users can upload photos or images that they aren't sure what they are to determine what the images contain. Macroglossa compares images to return search results based on five search categories. Macroglossa offers three levels of APIs for developers: free, basic, and premium. The free API has limited use, but basic and premium do not. The premium API also offers custom services. Public documentation is not available until the sign up process is completed. Interested developers should register here: http://www.macroglossa.com/api.html.",Search,macroglossa is search engine that compare image user can upload photo image that they aren sure what they are determine what image contain macroglossa compare image return search result based five search category macroglossa offer three level of apis for developer free basic premium free api ha limited use basic premium do not premium api also offer custom service public documentation is not available until sign up process is completed interested developer should register here,10
"Amazonca.com provides users with online access to a barcode database that it maintains. Users are given a method of locating a product and providing product information using a barcode. The website enables users to search for items using barcodes. The API gives users functionality for search, comments and images. The API uses RESTful calls and responses are formatted in XML.",Reference,amazonca com provides user with online access barcode database that it maintains user are given method of locating product providing product information using barcode website enables user search for item using barcodes api give user functionality for search comment image api us restful call response are formatted xml,8
"Omnistar Affiliate Software allows web sites to setup and manage an affiliate program. The software integrates with other applications. The Omnistar API allows developers to access and integrate the functionality of Omnistar with other applications and to create new applications. Some example API methods include managing users, managing the affiliate program, and managing occurrences.",Enterprise,omnistar affiliate software allows web site setup manage affiliate program software integrates with other application omnistar api allows developer access integrate functionality of omnistar with other application create new application some example api method include managing user managing affiliate program managing occurrence,2
"Amobee is a mobile advertising platform. Amobee offers various mobile advertising solutions to mobile application publishers, mobile operators, and advertisers. The Amobee API allows developers to access and integrate the functionality of Amobee with other applications. Public documentation is not available; API access comes with account service for mobile application publishers.",Advertising,amobee is mobile advertising platform amobee offer various mobile advertising solution mobile application publisher mobile operator advertiser amobee api allows developer access integrate functionality of amobee with other application public documentation is not available api access come with account service for mobile application publisher,0
"NOTE: No public docs until you register. Programmatically surf channels and content in the kyte repository and then use the API to upload shows on the channel that you own. Add your TV channel to your app, site, blog, social network, or mobile device.",Video,note no public doc until you register programmatically surf channel content kyte repository then use api upload show channel that you own add your tv channel your app site blog social network mobile device,18
"Google Coordinate is a workforce management application that lets organizations manage and keep track of their mobile workforce. The API exposes functionality such as job createion, listings, and updates. With the API, managers can communicate with their workforce, see their physical location on a map, assign jobs, report on and review all jobs. The API uses RESTful calls and responses are formatted in JSON.",Enterprise,google coordinate is workforce management application that let organization manage keep track of their mobile workforce api expose functionality such a job createion listing update with api manager can communicate with their workforce see their physical location map assign job report review all job api us restful call response are formatted json,2
"CycleStreets is a UK-wide cycle journey planner system, which lets you plan routes from A to B by bike. It is designed by cyclists, for cyclists, and caters for the needs of less both confident and less confident cyclists.",Sports,cyclestreets is uk wide cycle journey planner system which let you plan route from by bike it is designed by cyclist for cyclist caters for need of le both confident le confident cyclist,13
"The Shakr REST API allows developers to access and integrate the functionality of Shakr with other applications and to create new applications. Some example API methods include embedding Shakr, retrieving users, and retrieving and managing lists and categories. Shakr is a video advertising application.",Video,shakr rest api allows developer access integrate functionality of shakr with other application create new application some example api method include embedding shakr retrieving user retrieving managing list category shakr is video advertising application,18
"The AMP Platform collects and stores item information from thousands of different web stores making that information accessible to developers. Using the platform, developers can build web applications like widgets, niche Web sites and marketplaces, and mobile apps.",eCommerce,amp platform collect store item information from thousand of different web store making that information accessible developer using platform developer can build web application like widget niche web site marketplace mobile apps,19
"The Verizon ThingSpace Personal Cloud Storage API integrates cloud services into telephony applications. It is available with OAuth2 as authentication method, HTTP requests & JSON responses, and an API console to experiment with development.",Telephony,verizon thingspace personal cloud storage api integrates cloud service into telephony application it is available with oauth a authentication method http request json response api console experiment with development,14
"The Flipkart Books Category Feed API allows users to add a feed of top selling Flipkart books affiliate links to applications to help monetize apps. Flipkart is an online shopping portal based in India for clothing, furniture, electronics, books, and sporting goods.",eCommerce,flipkart book category feed api allows user add feed of top selling flipkart book affiliate link application help monetize apps flipkart is online shopping portal based india for clothing furniture electronics book sporting good,19
"Neon SMS is an Irish SMS marketing service that uses carrier-grade infrastructure. Developers can integrate Neon SMS's secure online gateway with their own applications via REST API. Users can send SMS to multiple recipients with one call, and all API calls are encrypted using 128-bit SSL. Users can also get delivery reports through the API.",Messaging,neon sm is irish sm marketing service that us carrier grade infrastructure developer can integrate neon sm secure online gateway with their own application via rest api user can send sm multiple recipient with one call all api call are encrypted using bit ssl user can also get delivery report through api,6
"golfnow offers booking services for can restful at over 5,000 golf courses and resorts across the us , canada , league , mexico , ireland and scotland . the scores league users allows xml to restful functions such as finding golf courses , finding can information , and access tee time league . access for golf courses and results times based on a various criteria , create customers , make tee time other , that",Sports,golfnow offer booking service for can restful over golf course resort across u canada league mexico ireland scotland score league user allows xml restful function such a finding golf course finding can information access tee time league access for golf course result time based various criterion create customer make tee time other that,13
"The service from the International Council for the Exploration of the Sea (ICES) provides access to a data warehouse compiled by the provider of biological research data relevant to ecosystem conditions. It collects datasets developed by researchers studying environmental conditions and makes it available via APIs. The data warehouse combines listings of separate datasets maintained by other providers for comprehensive listings across ecological science. API methods support search for data on a particular species, for a particular region, or spanning a particular time period. Methods also provide structural information about the data warehouse, such as a summary listing of datasets available, data elements and datatypes within the datasets, geographic regions for which data can be accessed, and listings of species tracked in the datasets.",Science,service from international council for exploration of sea ice provides access data warehouse compiled by provider of biological research data relevant ecosystem condition it collect datasets developed by researcher studying environmental condition make it available via apis data warehouse combine listing of separate datasets maintained by other provider for comprehensive listing across ecological science api method support search for data particular specie for particular region spanning particular time period method also provide structural information about data warehouse such a summary listing of datasets available data element datatypes within datasets geographic region for which data can be accessed listing of specie tracked datasets,9
"Campaigner is an email marketing services provider. One of its offerings is the Campaigner Elements API, which provides programmatic means by which users can manage subscriber groups, contacts, content, and email campaigns, as well as download metrics and reports. These functions allow users to automatically integrate external data with Campaigner's systems and to develop custom applications that use Campaigner functions and data.",Email,campaigner is email marketing service provider one of it offering is campaigner element api which provides programmatic mean by which user can manage subscriber group contact content email campaign a well a download metric report these function allow user automatically integrate external data with campaigner system develop custom application that use campaigner function data,1
The Voovox service enables users to make local and international calls as well as send SMS messages through its web site. The SMS API provides users with the ability to send SMS messages and check message delivery status from their own applications. The API uses SOAP protocol and responses are formatted in XML.,Messaging,voovox service enables user make local international call a well a send sm message through it web site sm api provides user with ability send sm message check message delivery status from their own application api us soap protocol response are formatted xml,6
